"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","{1D8E6291-B0D5-35EC-8441-6616F567A0F7}"
"Microsoft_VC80_CRT_x86_x64","{4569AD91-47F4-4D9E-8FC9-717EC32D7AE1}"
"Microsoft Visual C++ 2005 Redistributable (x64)","{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}"
"Microsoft SQL Server 2005 Compact Edition [ENU]","{F0B430D1-B6AA-473D-9B06-AA3DD01FD0B8}"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}"
"MSXML 4.0 SP3 Parser","{196467F1-C11F-4F76-858B-5812ADC83B94}"
"Microsoft_VC80_MFC_x86","{D1A19B02-817E-4296-A45B-07853FD74D57}"
"Microsoft IntelliPoint 8.1","{3ED4AD02-F631-4A4C-AAC8-2325996E5A56}"
"Microsoft ASP.NET MVC 1.0","{A4394612-D02F-11DC-9BFF-D18556D89593}"
"TOSHIBA ReelTime","{A0E99122-25C1-4CA4-9063-499A2A814EB6}"
"Microsoft Silverlight 4 SDK","{05855322-BE43-41FE-B583-D3AE0C326D58}"
"Google Drive","{7A21C722-F259-4976-B7AA-6658E5FDEDAF}"
"Microsoft Security Client","{C78D3032-9DFD-41D0-9DE9-58EAE750CBA4}"
"Microsoft_VC80_MFCLOC_x86","{D92BBB52-82FF-42ED-8A3C-4E062F944AB7}"
"Windows Live ID Sign-in Assistant","{1B8ABA62-74F0-47ED-B18C-A43128E591B8}"
"Microsoft Web Deploy 2.0","{DB321C62-AD24-449E-859A-53A5F6C0270F}"
"Windows Live SOXE Definitions","{200FEC62-3C34-4D60-9CE8-EC372E01C08F}"
"Bonjour","{6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D}"
"Microsoft SQL Server System CLR Types","{877B76B2-F83F-4F5A-B28D-3F398641ADB6}"
"Microsoft XNA Game Studio 4.0 Windows Phone Extensions","{5DDF31D2-63BB-4268-895B-FB05A82A1C00}"
"Visual Studio 2010 Tools for SQL Server Compact 3.5 SP2 ENU","{112C23F2-C036-4D40-BED4-0CB47BF5555C}"
"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219","{5D9ED403-94DE-3BA0-B1D6-71F4BDA412E6}"
"Microsoft Games for Windows - LIVE Redistributable","{F2508213-9989-4E85-A078-72BE483917EF}"
"Microsoft SQL Server Compact 4.0 x64 ENU","{8424B163-D1E0-48B7-88A2-C7A61767B3D7}"
"Microsoft SQL Server Database Publishing Wizard 1.4","{ACE28263-76A4-4BF5-B6F4-8BD719595969}"
"Microsoft Visual Studio 2010 Shell (Integrated) - ENU","{012D26C3-E12A-3BDA-8ECE-DF14E721A507}"
"Windows Live Communications Platform","{D45240D3-B6B3-4FF9-B243-54ECE3E10066}"
"Microsoft XNA Game Studio 4.0 (Redists)","{68BD57D3-D606-411E-A7E0-3EB6EA5660F6}"
"Microsoft Windows Phone 7 Developer Resources","{B86149D3-18A2-41FD-A153-60AF944E47FE}"
"Microsoft Visual C++ 2005 Redistributable","{837b34e3-7c30-493c-8f6a-2b0f04e2912c}"
"Microsoft XNA Game Studio 4.0 (XnaLiveProxy)","{01C79EF3-DE84-4B56-B638-8BEA0D507506}"
"Windows Live Movie Maker","{92EA4134-10D1-418A-91E1-5A0453131A38}"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","{B143BE44-8723-315E-9413-011C55873C0E}"
"Apple Software Update","{789A5B64-9DD9-4BA5-915A-F0FC0A1B7BFE}"
"Microsoft Office Suite Activation Assistant","{E50AE784-FABE-46DA-A1F8-7B6B56DCB22E}"
"Windows Live Photo Gallery","{34F4D9A4-42C2-4348-BEF4-E553C84549E7}"
"Windows Live Mail","{C66824E4-CBB3-4851-BB3F-E8CFD6350923}"
"Microsoft_VC90_MFC_x86_x64","{A472B9E4-0AFF-4F7B-B25D-F64F8E928AAB}"
"Java(TM) 6 Update 31","{26A24AE4-039D-4CA4-87B4-2F83216031FF}"
"Java 7 Update 9","{26A24AE4-039D-4CA4-87B4-2F83217009FF}"
"iCloud","{D0CB24F4-084F-40DE-B6B9-A03626E682F0}"
"Java(TM) SE Development Kit 6 Update 27","{32A3A4F4-B792-11D6-A78A-00B0D0160270}"
"MSVCRT_amd64","{D0B44725-3666-492D-BEF6-587A14BD9BD9}"
"Windows Live Messenger","{80956555-A512-4190-9CAD-B000C36D6B6B}"
"MSXML 4.0 SP3 Parser (KB973685)","{859DFA95-E4A6-48CD-B88E-A3E483E89B44}"
"Microsoft Silverlight 4 Toolkit April 2010","{2DDCCEA5-2AA4-4ABB-BCAD-41BB115A4333}"
"IIS 7.5 Express","{183A40C5-57BA-433E-B747-34DD620BA00E}"
"Garmin Communicator Plugin","{B1EE1CC5-6CED-4801-BFFF-8454F21A245A}"
"Microsoft Team Foundation Server 2010 Object Model - ENU","{1AB7EDC5-D891-34C5-9FF1-BE6A85ACC44B}"
"Microsoft_VC80_MFC_x86_x64","{C8C1BAD5-54E6-4146-AD07-3A8AD36569C3}"
"Microsoft Expression Blend 4 Add-in for Adobe FXG Import","{A29C5DD5-B21E-474F-AA96-6A7FC0B2B248}"
"Windows Phone Emulator x64 - ENU","{0F7861E5-3B24-33CA-AECF-B5477194CEEB}"
"Microsoft Silverlight Tools for Visual Studio 2010","{558358E5-E4F3-4374-BA1D-26FF39EF87D9}"
"TOSHIBA Recovery Media Creator","{B65BBB06-1F8E-48F5-8A54-B024A9E15FDF}"
"Windows Live Writer","{A726AE06-AAA3-43D1-87E3-70F510314F04}"
"Microsoft ASP.NET MVC 3","{DCDEC776-BADD-48B9-8F9A-DFF513C3D7FA}"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}"
"Adobe Reader X (10.1.4)","{AC76BA86-7AD7-1033-7B44-AA1000000001}"
"Microsoft XNA Game Studio 4.0 (Shared Components)","{08C84CC6-E7FD-4B2D-BBF9-B02CC90EE031}"
"Microsoft ASP.NET MVC 3 - VWD Express 2010 Tools","{58951FC6-706B-44BB-9670-49C5A4E8CB26}"
"Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570","{86CE85E6-DBAC-3FFD-B977-E4B79F83C909}"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","{9BE518E6-ECC6-35A9-88E4-87755C07200F}"
"GO Contact Sync","{DEE43217-9B84-4204-AE98-27BAA14EFF5C}"
"TOSHIBA Media Controller Plug-in","{F26FDF57-483E-42C8-A9C9-EEE1EDB256E0}"
